Nazioni;Anno;Percentuale popolazione con istruzione universitaria
Austria;2013;27.3
Belgio;2013;42.7
Bulgaria;2013;29.4
Croazia;2013;25.6
Cipro;2013;47.8
Repubblica Ceca;2013;26.7
Danimarca;2013;43.4
Estonia;2013;43.7
Finlandia;2013;45.1
Francia;2013;44.1
Germania;2013;33.1
Grecia;2013;34.9
Ungheria;2013;31.9
Irlanda;2013;52.6
Italia;2013;22.4
Lettonia;2013;40.7
Lituania;2013;51.3
Lussemburgo;2013;52.5
Malta;2013;26.0
Paesi Bassi;2013;43.1
Polonia;2013;40.5
Portogallo;2013;30.0
Romania;2013;22.8
Slovacchia;2013;26.9
Slovenia;2013;40.1
Spagna;2013;42.3
Svezia;2013;48.3
Regno Unito;2013;47.6
